ISSUER,full_name,vote_raw,against_reason,investor,vote
RS Group Plc,Approve Remuneration Report,Against,Pay is misaligned with EOS remuneration principles,LGPS Central,AGAINST
Sage Group (The Sage Group Plc),Approve Remuneration Report,For,No comment available,LGPS Central,FOR
Sainsbury /(J Sainsbury Plc),Approve Remuneration Report,For,No comment available,LGPS Central,FOR
Severn Trent Plc,Approve Remuneration Report,For,No comment available,LGPS Central,FOR
SSE Plc,Approve Remuneration Report,For,No comment available,LGPS Central,FOR
United Utilities Group Plc,Approve Remuneration Report,For,No comment available,LGPS Central,FOR
Vodafone Group Plc,Approve Remuneration Report,For,No comment available,LGPS Central,FOR
Compass Group Plc,Approve Remuneration Report,For,No comments available,Liontrust Sustainable Investments,FOR
Sage Group (The Sage Group Plc),Approve Remuneration Report,For,No comments available,Liontrust Sustainable Investments,FOR
3i Group,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Abrdn Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Anglo American Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
AstraZeneca,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Aviva,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
BAE Systems Plc,Directors' Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Barclays,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Beazley,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
BP Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
British American Tobacco Plc,To approve the Directors' remuneration report for the year ended 31 December 2023.,For,No comments available,M&G Investment Management Ltd,FOR
British Land Co,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
BT Group Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Burberry Group Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Centrica,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Compass Group Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
DCC Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Diageo Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
DS Smith Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Entain Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Experian Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
GSK Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Haleon Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Hargreaves Lansdown Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Hiscox Ltd,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
HSBC Holdings Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Imperial Brands Plc,To approve the Directors' Remuneration Report for the financial year ended 30 September 2023.,For,No comments available,M&G Investment Management Ltd,FOR
Informa Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Johnson Matthey Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Kingfisher Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Land Securities Group Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Legal & General Group Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Lloyds Banking Group Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
London Stock Exchange Group Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
National Grid Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Natwest Group Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Next Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Pearson Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Phoenix Group Holdings,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Prudential Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Reckitt Benckiser Group Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Relx Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Rio Tinto,Approve Remuneration Report for UK Law Purposes,For,No comments available,M&G Investment Management Ltd,FOR
Rio Tinto,Approve Remuneration Report for Australian Law Purposes,For,No comments available,M&G Investment Management Ltd,FOR
RS Group Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Sage Group (The Sage Group Plc),Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Segro,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Smith & Nephew Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Spirax-Sarco Engineering,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
SSE Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Standard Chartered Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Taylor Wimpey Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Tesco Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Unite Group Plc (The Unite Group Plc),Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
United Utilities Group Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Vodafone Group Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Weir Group Plc (The Weir Group Plc),Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
Whitbread Plc,Approve Remuneration Report,For,No comments available,M&G Investment Management Ltd,FOR
WPP Plc,Approve Compensation Committee Report,For,No comments available,M&G Investment Management Ltd,FOR
3i Group,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Anglo American Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Antofagasta Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
AstraZeneca,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Aviva,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Barclays,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
BP Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
British American Tobacco Plc,To approve the Directors' remuneration report for the year ended 31 December 2023.,For,No comment available,Manulife Investment Management (US) LLC,FOR
Bunzl Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Centrica,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Compass Group Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
ConvaTec Group,Approve Remuneration Report,Against,No comment available,Manulife Investment Management (US) LLC,AGAINST
Croda International Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Endeavour Mining Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Entain Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Flutter Entertainment Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Glencore Plc,To approve the Directors' Remuneration Report (excluding the Directors' Remuneration Policy) as set out in the 2023 Annual Report.,For,No comment available,Manulife Investment Management (US) LLC,FOR
GSK Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Haleon Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
HSBC Holdings Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Imperial Brands Plc,To approve the Directors' Remuneration Report for the financial year ended 30 September 2023.,For,No comment available,Manulife Investment Management (US) LLC,FOR
Informa Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
InterContinental Hotels Group Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Legal & General Group Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Lloyds Banking Group Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
London Stock Exchange Group Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Melrose Industries Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Mondi Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Natwest Group Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Next Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Pearson Plc,Approve Remuneration Report,Against,No comment available,Manulife Investment Management (US) LLC,AGAINST
Prudential Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Reckitt Benckiser Group Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Relx Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Rentokil Initial,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Rightmove Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Rio Tinto,Approve Remuneration Report for UK Law Purposes,For,No comment available,Manulife Investment Management (US) LLC,FOR
Rio Tinto,Approve Remuneration Report for Australian Law Purposes,For,No comment available,Manulife Investment Management (US) LLC,FOR
Rolls-Royce Holdings,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Sage Group (The Sage Group Plc),Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Schroders Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Segro,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Smith & Nephew Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Smurfit Kappa Group,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Spirax-Sarco Engineering,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Standard Chartered Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Tesco Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Unite Group Plc (The Unite Group Plc),Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Weir Group Plc (The Weir Group Plc),Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
Whitbread Plc,Approve Remuneration Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
WPP Plc,Approve Compensation Committee Report,For,No comment available,Manulife Investment Management (US) LLC,FOR
3i Group,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Admiral Group Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Anglo American Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Ashtead Group,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
AstraZeneca,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Auto Trader Group,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
B&M European Value Retail,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
BAE Systems Plc,Directors' Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Barclays,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Beazley,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
BP Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
British American Tobacco Plc,To approve the Directors' remuneration report for the year ended 31 December 2023.,For,No comment available,Massachusetts Financial Services Co.,FOR
Bunzl Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Burberry Group Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Centrica,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Compass Group Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
ConvaTec Group,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Croda International Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
DCC Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Diageo Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Experian Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Flutter Entertainment Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Glencore Plc,To approve the Directors' Remuneration Report (excluding the Directors' Remuneration Policy) as set out in the 2023 Annual Report.,For,No comment available,Massachusetts Financial Services Co.,FOR
Haleon Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Halma Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Hiscox Ltd,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
HSBC Holdings Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Imperial Brands Plc,To approve the Directors' Remuneration Report for the financial year ended 30 September 2023.,For,No comment available,Massachusetts Financial Services Co.,FOR
Informa Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
InterContinental Hotels Group Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Intertek Group Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Lloyds Banking Group Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
London Stock Exchange Group Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Melrose Industries Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
National Grid Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Natwest Group Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Next Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Ocado Group Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Prudential Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Reckitt Benckiser Group Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Relx Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Rentokil Initial,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Rightmove Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Rio Tinto,Approve Remuneration Report for UK Law Purposes,For,No comment available,Massachusetts Financial Services Co.,FOR
Rio Tinto,Approve Remuneration Report for Australian Law Purposes,For,No comment available,Massachusetts Financial Services Co.,FOR
Rolls-Royce Holdings,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
RS Group Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Sage Group (The Sage Group Plc),Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Segro,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Severn Trent Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Smith & Nephew Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Spirax-Sarco Engineering,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
SSE Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
St. James's Place Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Tesco Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Unite Group Plc (The Unite Group Plc),Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
United Utilities Group Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Vodafone Group Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Weir Group Plc (The Weir Group Plc),Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Whitbread Plc,Approve Remuneration Report,For,No comment available,Massachusetts Financial Services Co.,FOR
WPP Plc,Approve Compensation Committee Report,For,No comment available,Massachusetts Financial Services Co.,FOR
Admiral Group Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Anglo American Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Antofagasta Plc,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Ashtead Group,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
AstraZeneca,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Auto Trader Group,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Aviva,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
BAE Systems Plc,Directors' Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Barclays,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
BP Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
British Land Co,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
BT Group Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Bunzl Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Centrica,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Compass Group Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
ConvaTec Group,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
DCC Plc,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Diageo Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Experian Plc,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Flutter Entertainment Plc,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Glencore Plc,To approve the Directors' Remuneration Report (excluding the Directors' Remuneration Policy) as set out in the 2023 Annual Report.,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
GSK Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Haleon Plc,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Hiscox Ltd,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
HSBC Holdings Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Imperial Brands Plc,To approve the Directors' Remuneration Report for the financial year ended 30 September 2023.,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Informa Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
InterContinental Hotels Group Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
International Consolidated Airlines Group SA,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Intertek Group Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
JD Sports Fashion Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Johnson Matthey Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Kingfisher Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Land Securities Group Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Legal & General Group Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Lloyds Banking Group Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
London Stock Exchange Group Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
M&G,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Mondi Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
National Grid Plc,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Natwest Group Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Next Plc,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Pearson Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Persimmon Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Phoenix Group Holdings,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Prudential Plc,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Reckitt Benckiser Group Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Relx Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Rentokil Initial,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Rio Tinto,Approve Remuneration Report for UK Law Purposes,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Rio Tinto,Approve Remuneration Report for Australian Law Purposes,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Rolls-Royce Holdings,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
RS Group Plc,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Sage Group (The Sage Group Plc),Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Sainsbury /(J Sainsbury Plc),Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Schroders Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Segro,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Severn Trent Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Smith & Nephew Plc,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Smurfit Kappa Group,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
SSE Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
St. James's Place Plc,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Standard Chartered Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Taylor Wimpey Plc,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Tesco Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
United Utilities Group Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
Vodafone Group Plc,Approve Remuneration Report,Against,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,AGAINST
Whitbread Plc,Approve Remuneration Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
WPP Plc,Approve Compensation Committee Report,For,No comment available,MEAG MUNICH ERGO Kapitalanlagegesellschaft mbH,FOR
3i Group,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
Abrdn Plc,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
Admiral Group Plc,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
Anglo American Plc,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
Antofagasta Plc,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
AstraZeneca,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
Aviva,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
BAE Systems Plc,Directors' Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
Barclays,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
BP Plc,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
British American Tobacco Plc,To approve the Directors' remuneration report for the year ended 31 December 2023.,For,No comment available,Mellon Investments Corp.,FOR
Bunzl Plc,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
Centrica,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
Compass Group Plc,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
ConvaTec Group,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
Croda International Plc,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
Endeavour Mining Plc,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
Entain Plc,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
Flutter Entertainment Plc,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
Fresnillo Plc,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
Glencore Plc,To approve the Directors' Remuneration Report (excluding the Directors' Remuneration Policy) as set out in the 2023 Annual Report.,For,No comment available,Mellon Investments Corp.,FOR
GSK Plc,Approve Remuneration Report,For,No comment available,Mellon Investments Corp.,FOR
